ca,polarity,bo,mo,org.flowrate,pitch,L,GT
0.225783718,0,0.0838,1.05E-09,1000,0.453,7,1400
0.24836209,0,0.0838,1.05E-09,1100,0.453,7,1500
0.045156744,0,0.0838,1.05E-09,200,0.453,7,3500
0.067735116,0,0.0838,1.05E-09,300,0.453,7,3000
0.090313487,0,0.0838,1.05E-09,400,0.453,7,2600
0.112891859,0,0.0838,1.05E-09,500,0.453,7,2500
0.135470231,0,0.0838,1.05E-09,600,0.453,7,2200
0.158048603,0,0.0838,1.05E-09,700,0.453,7,1700
0.180626975,0,0.0838,1.05E-09,800,0.453,7,1700
0.225783718,0,0.0838,1.05E-09,1000,0.453,7,1400
0.24836209,0,0.0838,1.05E-09,1100,0.453,7,1400
0.045156744,0,0.0838,1.05E-09,200,0.453,14,2200
0.067735116,0,0.0838,1.05E-09,300,0.453,14,1400
0.090313487,0,0.0838,1.05E-09,400,0.453,14,1400
0.112891859,0,0.0838,1.05E-09,500,0.453,14,1400
0.135470231,0,0.0838,1.05E-09,600,0.453,14,1200
0.158048603,0,0.0838,1.05E-09,700,0.453,14,900
0.180626975,0,0.0838,1.05E-09,800,0.453,14,900
0.203205347,0,0.0838,1.05E-09,900,0.453,14,800
0.225783718,0,0.0838,1.05E-09,1000,0.453,14,800
0.24836209,0,0.0838,1.05E-09,1100,0.453,14,800
0.045156744,0,0.0838,1.05E-09,200,0.453,14,3000
0.067735116,0,0.0838,1.05E-09,300,0.453,14,2500
0.090313487,0,0.0838,1.05E-09,400,0.453,14,2100
0.112891859,0,0.0838,1.05E-09,500,0.453,14,2000
0.135470231,0,0.0838,1.05E-09,600,0.453,14,1600
0.158048603,0,0.0838,1.05E-09,700,0.453,14,1300
0.180626975,0,0.0838,1.05E-09,800,0.453,14,1100
0.203205347,0,0.0838,1.05E-09,900,0.453,14,1000
0.225783718,0,0.0838,1.05E-09,1000,0.453,14,900
0.24836209,0,0.0838,1.05E-09,1100,0.453,14,700
0.045156744,0,0.0838,1.05E-09,200,0.453,14,2400
0.067735116,0,0.0838,1.05E-09,300,0.453,14,2000
0.090313487,0,0.0838,1.05E-09,400,0.453,14,1900
0.112891859,0,0.0838,1.05E-09,500,0.453,14,1700
0.158048603,0,0.0838,1.05E-09,700,0.453,14,1400
0.180626975,0,0.0838,1.05E-09,800,0.453,14,1300
0.203205347,0,0.0838,1.05E-09,900,0.453,14,1100
0.225783718,0,0.0838,1.05E-09,1000,0.453,14,1100
0.24836209,0,0.0838,1.05E-09,1100,0.453,14,900
